DBA,Owner / Community_Name,Location_Address,County,Total_#_Sites,House district,Senate district
CEDARBROOK ESTATES,P S F ASSOCIATES,"323 LEGRAND BLVD., WHITE LAKE TWP., MI 48383",OAKLAND,691,51,23
,"LEFFINGWELL ESTATES, LLC","595 S MERIDIAN RD, HUDSON MI 49247",LENAWEE,100,34,16
STERLING ESTATES,C E ASSOCIATES,"43475 LAGRAND, STERLING HEIGHTS, MI 48078",MACOMB,760,57,9
,CONTINENTAL ESTATES MI LLC,"41 REVERE, DAVISON, MI 48423",GENESEE,386,68,26
,"MELVINDALE MOBILE HOME PARK, INC","18630 DIX, MELVINDALE, MI 48122",WAYNE,59,3,1
HICKORY HILLS VILLAGE,HICKORY HILLS VILLAGE LLC,"10450 SIX MILE ROAD, BATTLE CREEK, MI 49017",CALHOUN,283,45,18
BROOKHAVEN PARK,CARRIAGE WAY MHP LLC,"4747 WEST RIVER DR, COMSTOCK PARK MI 49321",KENT,73,81,30
JUNES MOBILE VILLAGE,JUNES MOBILE HOME PARK LIMITED PARTNERSHIP,"395 LABADIE COURT, ECORSE, MI 48229",WAYNE,146,2,1
LAKEVIEW MOBILE HOME COURT,"LEBLANC FAMILY LTD PARTNERSHIP, THE","745 EAST HURON RIVER DRIVE, BELLEVILLE, MI 48111",WAYNE,60,31,4
INDIAN ACRES MOBILE HOME PARK,GERALD KOSTER,"770 129TH AVE. R#2, SHELBYVILLE, MI 49344",ALLEGAN,35,43,18
ALLEGAN MOBILE ESTATES,ALLEGAN MOBILE ESTATES LLC,"1260 LINCOLN ROAD, ALLEGAN, MI 49010",ALLEGAN,42,43,20
DEARBORN TRAILER PARK,DONALD W ARNEY,"21851 WEST WARREN, DEARBORN HEIGHTS, MI 48127",WAYNE,47,15,2
HOMECREST VILLA MOBILE HOME PARK,HOMECREST VILLA MHP LLC,"3382 MONROE ROAD, ALLEGAN, MI 49010",ALLEGAN,58,43,20
WHITE PINE ESTATES,SHARON JEAN ALTMAN,"PAUL DRIVE, MESICK, MI 49668",WEXFORD,33,101,36
BUENA VISTA ESTATES,SOUTHERN LLC,"17330 HONOR HWY, INTERLOCHEN, MI 49643",BENZIE,68,104,32
AUSABLE MOBILE HOME VILLAGE,HEZ PROPERTIES LLC,"331 FIRST ST, OSCODA, MI 48750",IOSCO,27,99,36
,"OAKFIELD MOBILE HOME PARK, LLC","12176 14 MILE ROAD, GREENVILLE, MI 48838",KENT,22,91,33
BEDFORD HILLS,NP BEDFORD HILLS LLC,"110 BEJAC CIRCLE DR, BATTLE CREEK, MI 49037",CALHOUN,340,44,18
LINCOLN ESTATES,"ASPEN HOLLAND ESTATES, LLC","1139 LINCOLN AVENUE, HOLLAND, MI 49423",ALLEGAN,192,86,31
,GRANITE WILLOW POINT LLC,"43400 LENFESTY, MT. CLEMENS, MI 48043",MACOMB,299,62,12
ANDREWS TRAILER COURT,GERALD KOSTER,"1202 WEST M-89, PLAINWELL, MI 49080",ALLEGAN,36,42,18
LEISURE VILLAGE,LEISURE VILLAGE MOBILE HOME PARK LLC,"5305 CIRCLE DR, BELMONT MI 49306",KENT,258,90,30
,DAVISON MOBILE HOME COMMUNITY,"10364 DAVISON ROAD, DAVISON, MI 48423",GENESEE,26,68,26
,TRADEWIND MOBILE HOME COURT,"12400 NORTH SAGINAW STREET, CLIO, MI 48420",GENESEE,29,69,27
,"METRO COMMONS ASSOCIATES, LLC","28745 VAN BORN ROAD, ROMULUS, MI 48174",WAYNE,225,26,4
JOHNSON VILLAGE MOBILE HOME PARK,DOUGLAS & JOHNSON MOBILE ASSOCIATES LTD,",",ALLEGAN,75,,
,"FLUSHING MOBILE COURT, INC","638 NORTH MCKINLEY ROAD, FLUSHING, MI 48433",GENESEE,59,69,27
GRAND MOBILE VILLAGE,ASPEN GRAND PROJECT LLC,"6500 DIVISION AVENUE, GRAND RAPIDS, MI 49508",KENT,328,79,20
,HIDDEN LAKE ESTATES MI LLC,"505 NORTH ROCHESTER ROAD, LEONARD, MI 48051",OAKLAND,269,66,24
,FLAMINGO TRAILER COURT INC,"22600 MIDDLEBELT RD, FARMINGTON HILLS, MI 48024",OAKLAND,226,18,6
,"CLINTONVILLA I, LLC","4871 CLINTONVILLE ROAD, CLARKSTON, MI 48346",OAKLAND,180,52,23
,"COLLEGE HEIGHTS ASSOCIATES, LLC","3501 AUBURN ROAD, AUBURN HEIGHTS, MI 48057",OAKLAND,162,101,36
,"ASPEN-ALPINE PROJECT, LLC","3800 FRUIT RIDGE ROAD, GRAND RAPIDS, MI 49504",KENT,403,90,30
"RIVERS EDGE, A QUIET COMMUNITY","PROGRESSIVE COMMUNITIES ECSC, LLC","60 HATHAWAY STREET, ST. CLAIR, MI 48054",ST CLAIR,51,63,25
,"APPLETREE ESTATES ASSOCIATES, LLC","1061 WILSON AVENUE, WALKER, MI 49504",KENT,238,84,30
,CRESTVIEW MANOR,"1485 RIDGEVIEW DR, LAPEER MI 48446",LAPEER,200,67,26
,OSSINEKE MOBILE HOME PARK LLC,"10409 WASHINGTON AVENUE, OSSINEKE, MI 49766",ALPENA,10,106,36
,PARKHURST ESTATES MHC,"1540 LAPEER RD., OXFORD, MI 48371",OAKLAND,320,66,24
,WASHINGTON MOBILE HOME PARK,"60630 VAN DYKE, WASHINGTON, MI 48094",MACOMB,107,66,24
,CARO ESTATES LLC,"885 S STATE STREET, CARO MI 48723",TUSCOLA,63,97,25
,KINGSBROOK MHC LLC,"4600 N VAN DYKE, ALMONT MI 48003",LAPEER,233,65,24
VILLAGE EAST MOBILE HOME PARK,ALLEGAN MOBILE ESTATES LLC,"1258 LINCOLN ROAD, ALLEGAN, MI 49010",ALLEGAN,94,43,20
,TWIN PINES MHC LLC,"2701 CALHOUN RD, ALBION MI 49224",CALHOUN,73,44,17
,RED RUN LLC,"1066 LINDA LANE, MADISON HEIGHTS MI 48071",OAKLAND,123,57,3
,"LITTLE VALLEY ESTATES, INC","20832 TUCK ROAD, FARMINGTON HILLS, MI 48024",OAKLAND,158,18,6
ECKERTS MOBILE HOME COURT,PATRICIA C ECKERT & MATTHEW WACHOSKI,"2324 ELEVEN MILE ROAD BOX 2, WARREN, MI 48091",MACOMB,77,14,3
COUNTRY ACRES MOBILE HOME PARK,COUNTRY ACRES PARTNERS LLC,"5904 142ND AVE, HOLLAND MI 49423",ALLEGAN,113,43,31
LAKESHORE VILLAGE MOBILE HOME PARK,KRISHAN KUMAR KALIA,"35922 E. JEFFERSON, HARRISON TWP., MI 48043",MACOMB,45,61,12
,WINDSOR FARMS MI LLC,"23680 SANDPIPER DRIVE, CLINTON TOWNSHIP, MI 48036",MACOMB,633,61,12
,PRESQUE ISLE ESTATES,"429 BALSAM, ROGERS CITY, MI 49779",PRESQUE ISLE,64,106,36
,BLUE SKY MOBILE HOME PARK LLC,"36530 JEFFERSON AVE, MT. CLEMENS, MI 48045",MACOMB,134,61,12
SHADY OAKS MOBILE HOME PARK,PETER F RUSKIEWICZ,"6168 W M-80, KINROSS MI 49752",CHIPPEWA,14,108,38
,MAYWOOD ESTATES LLC,"20741 TUCK ROAD, FARMINGTON, MI 48024",OAKLAND,34,18,6
BYRON CENTER,ASPEN BYRON PROJECT LLC,"2680 84TH STREET, BYRON CENTER, MI 49315",KENT,143,79,20
,SUN CUTLER LLC A MICHIGAN LLC,"6471 SO. DIVISION, GRAND RAPIDS, MI 49508",KENT,284,80,29
HOLTS MOBILE HOME COURT AND SALES,OTHIE L HOLT,"6576 N DORT HWY, FLINT, MI 48505",GENESEE,57,70,27
,PARKVIEW ESTATES-NORTH LLC,"3500 WEST JEFFERSON, TRENTON, MI 48183",WAYNE,65,27,4
SWARTZ CREEK MEADOWS,NEPTUNE ENTERPRISES LLC,"4101 SHERIDAN ROAD, LENNON, MI 48449",GENESEE,608,69,27
TIMBERLINE ESTATES,SUN SECURED FINANCING LLC,"260 PIN OAK DRIVE, COOPERSVILLE, MI 49404",OTTAWA,303,89,30
,SUNRISE ESTATES MANUFACTURED HOME COMMUNITY LLC,"10080 US 23 NORTH, ALPENA, MI 49707",ALPENA,12,106,36
,WINDMILL POINTE MHC LLC,"588 48TH SE, KENTWOOD MI 49508",KENT,334,80,29
CITY OF ROSE CITY TRAILER PARK,CITY OF ROSE CITY,"410 N. WILLIAMS STREET, ROSE CITY, MI 48654",OGEMAW,16,99,36
HAWAIIAN GARDENS,SUN SILVER STAR LLC,"4261 GRANGE HALL ROAD, HOLLY, MI 48442",OAKLAND,233,72,22
,DECKERVILLE ESTATES MHC LLC,"2451 BLACK RIVER ST, DECKERVILLE, MI 48427",SANILAC,43,98,25
,SOMERSET MOBILE HOME COMMUNITY LLC,"117 BURCH RD STE B, COLDWATER MI 49036",BRANCH,56,35,17
,NILES PINES ESTATES,"900 MOBILE BLVD., NILES, MI 49120",CASS,80,37,17
LINDEN MOBILE HOME PARK,LINDEN R JONES,"19350 STATE LINE RD, EDWARDSBURG, MI 49112",CASS,57,36,17
,WHITE CREEK COUNTRY ESTATES,"15851 WHITE CREEK AVENUE, CEDAR SPRINGS, MI 49319",KENT,177,91,33
WHITE LAKE MOBILE HOME VILLAGE,"SUN SECURED FINANCING, LLC","1415 FISK ROAD, WHITE LAKE, MI 48386",OAKLAND,315,51,23
KINGS COURT,SUN KING'S COURT II LLC,"1585 RAY BLVD, TRAVERSE CITY, MI 49686",GRAND TRAVERSE,803,103,37
,"ROMEO MOBILE MANOR, INC","400 NOTRE DAME BLVD., ROMEO, MI 48065",MACOMB,98,66,24
AVRA ESTATES II,ALAN KEITH AVRA,"27 W GARFIELD AVENUE, COLDWATER, MI 49036",BRANCH,33,35,17
,TROWBRIDGE COMMUNITY,"2467 108TH AVE LOT #1, OTSEGO MI 49078",ALLEGAN,14,39,18
,BASELINE ESTATES LLC,"117 WESLER DR LOT 50, GOBLES, MI 49055",ALLEGAN,75,39,18
PAW PAW LAKE MOBILE HOME PARK,PAW PAW LAKE MOBILE HOME PARK LIMITED PARTNERSHI,"5259 NORTH WATERVLIET RD, WATERVLIET, MI 49098",BERRIEN,49,39,20
TOPAZ ESTATES,COLORED STONE PROPERTIES LLC,"2100 135TH AVENUE, HOPKINS, MI 49328",ALLEGAN,46,43,20
MAPLE VIEW MOBILE HOME PARK,KENNETH R SANTI,"124 WARREN DR, CRYSTAL FALLS MI 49920",IRON,15,110,38
