Name,County,Sites,FullstreetAddress,House district,Senate district
Pridnia's Mobile Home Park, Alcona ,,"116 West Church, Harrisville, MI, 48740",106,36
Ausable Mobile Home Village, Iosco ,15,"331 First Street, Oscoda, MI, 48750",99,36
Ossineke Mobile Home Park, Montmorency ,12,"Block 1, Old Ossineke Road, Ossineke, MI, 49766",106,36
Rose Lane Trailer Court, Iosco ,35,"4263 Bissionette, Oscoda, MI, 48750",99,36
Van Ettan Village, Iosco ,32,"4385 Van Ettan Dam Road, Oscoda, MI, 48750",99,36
Hubbard Lake Trailer Park, Oscoda ,,"7298 Hurbert Road, Hubbard Lake, MI, 49747",106,36
Oscoda Mobile Home Park, Iosco ,,"6445 Seminole Street, Oscoda, MI, 48750",99,36
Riverview Mobile Home Park, Montmorency ,,"13021 Us 23 South, Ossineke, MI, 49766",106,36
Village Court, Montmorency ,,"2300 Papin Street, Ossineke, MI, 49766",106,36
Island View Estates, Luce ,37,"801 Prospect Street, Munising, MI, 49862",109,38
Pioneer Village, Marquette ,90,"777 Pioneer Road, Site 169, Marquette, MI, 49855",109,38
Silver Creek Estates, Marquette ,90,"627 Willow Road, Marquette, MI, 49855",109,38
Brier's Mobile Home Court, Delta ,10,"8467 P5 Road, Gladstone, MI, 49837",108,38
Oak Bluff Estates, Delta ,175,"2722 South Hill Road, Gladstone, MI, 49837",108,38
Birch Grove Mobile Home Community, Marquette ,80,"500 Pioneer Road, Marquette, MI, 49855",109,38
NorthernAir Mobile Estates, Marquette ,150,"642 South Mackinac Lane, Gwinn, MI, 49841",109,38
Whispering Pines Mobile Home Park, Delta ,,"8741 0.8 Lane, Gladstone, MI, 49837",108,38
553 Mobile Estates, Marquette ,,"Box 100 Star Route, Gwinn, MI, 49841",109,38
Lake Bluff Retirement Village, Delta ,,"401 Kenneally Blvd., Gladstone, MI, 49837",108,38
Pine Acres Trailer Court, Marquette ,,"3000 Us 41 South, Marquette, MI, 49855",109,38
Whitefish Hill Trailer Court, Delta ,,"8455 Us Highway 2, Rapid River, MI, 49878",108,38
Hunters Glen, Allegan ,280,"1132 Hunters Glen Boulevard, Wayland, MI, 49348",79,18
Dover Farms, Allegan ,60,"1590 Dover Drive, Martin, MI, 49070",43,18
Dumont Creek Estates, Allegan ,75,"1925 Laura Street, Allegan, MI, 49010",43,20
Gun Lake Manufactured Home Community, Allegan ,59,"19985 Marsh Road, Shelbyville, MI, 49344",43,18
Country Meadows, Wayne ,577,"3211 Will Carleton Road, Flat Rock, MI, 48134",29,4
Windsor Woods Village, Allegan ,314,"1135 West Superior Street, Wayland, MI, 49348",43,18
Rabbit River , Allegan ,102,"3471 Homer Drive, Wayland, MI, 49348",43,18
